 Category 	 UT 	 Test cases 	 Passed 	 Skipped 	 Failures 
 --- 	 --- 	 --- 	 --- 	 --- 	 --- 
third_party/torch-xpu-ops/test/xpu/distributed	 test_c10d_ops_xccl	28	28	0	0
third_party/torch-xpu-ops/test/xpu/distributed	 test_c10d_xccl	22	22	0	0
distributed/checkpoint/e2e	 test_e2e_save_and_load 	19	19	0	0
distributed/checkpoint/e2e	 test_fine_tuning 	1	1	0	0
distributed/checkpoint/e2e	 test_fsdp_ep 	1	0	1	0
distributed/checkpoint/__experimental	 test_barriers 	2	2	0	0
distributed/checkpoint/__experimental	 test_builder 	4	4	0	0
distributed/checkpoint/__experimental	 test_checkpointer 	11	11	0	0
distributed/checkpoint/__experimental	 test_checkpoint_process 	15	15	0	0
distributed/checkpoint/__experimental	 test_checkpoint_reader 	7	7	0	0
distributed/checkpoint/__experimental	 test_checkpoint_writer 	8	8	0	0
distributed/checkpoint/__experimental	 test_staging 	7	6	1	0
distributed/checkpoint/__experimental	 test_types 	3	3	0	0
distributed/checkpoint/fsdp	 test_fsdp_dsd 	6	6	0	0
distributed/checkpoint	 test_checkpoint 	8	8	0	0
distributed/checkpoint	 test_compatibility 	4	4	0	0
distributed/checkpoint	 test_dedup_tensors 	1	1	0	0
distributed/checkpoint	 test_dtensor_checkpoint 	1	1	0	0
distributed/checkpoint	 test_dtensor_resharding 	7	7	0	0
distributed/checkpoint	 test_file_system_cpu 	16	10	2	4
distributed/checkpoint	 test_file_system_checkpoint 	9	9	0	0
distributed/checkpoint	 test_format_utils 	3	3	0	0
distributed/checkpoint	 test_fsdp_model_state 	2	2	0	0
distributed/checkpoint	 test_fsdp_optim_state 	2	2	0	0
distributed/checkpoint	 test_fsdp_tp_checkpoint_conversion 	1	1	0	0
distributed/checkpoint	 test_fsspec 	3	3	0	0
distributed/checkpoint	 test_hsdp_checkpoint 	4	4	0	0
distributed/checkpoint	 test_nested_dict 	2	2	0	0
distributed/checkpoint	 test_planner 	15	15	0	0
distributed/checkpoint	 test_save_load_api 	2	2	0	0
distributed/checkpoint	 test_state_dict 	25	24	0	1
distributed/checkpoint	 test_state_dict_utils 	7	6	1	0
distributed/checkpoint	 test_tp_checkpoint 	2	2	0	0
distributed/checkpoint	 test_traverse 	7	7	0	0
distributed/checkpoint	 test_utils 	16	16	0	0
distributed/_composable/fsdp	 test_fully_shard_autograd 	5	4	1	0
distributed/_composable/fsdp	 test_fully_shard_clip_grad_norm_ 	2	1	1	0
distributed/_composable/fsdp	 test_fully_shard_comm 	20	12	8	0
distributed/_composable/fsdp	 test_fully_shard_compile 	18	14	4	0
distributed/_composable/fsdp	 test_fully_shard_extensions 	5	1	4	0
distributed/_composable/fsdp	 test_fully_shard_frozen 	3	3	0	0
distributed/_composable/fsdp	 test_fully_shard_grad_scaler 	1	1	0	0
distributed/_composable/fsdp	 test_fully_shard_ignore_params 	1	1	0	0
distributed/_composable/fsdp	 test_fully_shard_init 	42	0	42	0
distributed/_composable/fsdp	 test_fully_shard_logging 	0	0	0	0
distributed/_composable/fsdp	 test_fully_shard_memory 	2	1	0	1
distributed/_composable/fsdp	 test_fully_shard_mixed_precision 	9	3	6	0
distributed/_composable/fsdp	 test_fully_shard_overlap 	1	0	1	0
distributed/_composable/fsdp	 test_fully_shard_state_dict 	7	6	1	0
distributed/_composable/fsdp	 test_fully_shard_state 	5	0	5	0
distributed/_composable/fsdp	 test_fully_shard_training 	24	12	12	0
distributed/_composable	 test_replicate_with_compiler 	10	9	1	0
distributed/elastic/events	 lib_test 	8	8	0	0
distributed/elastic/metrics	 api_test 	3	3	0	0
distributed/elastic/multiprocessing	 api_test 	25	25	0	0
distributed/elastic	 test_control_plane 	8	5	3	0
distributed/elastic/timer	 api_test 	1	1	0	0
distributed/elastic/timer	 local_timer_example 	2	2	0	0
distributed/elastic/timer	 local_timer_test 	14	14	0	0
distributed/elastic/utils	 distributed_test 	8	8	0	0
distributed/elastic/utils	 logging_test 	2	2	0	0
distributed/elastic/utils	 util_test 	12	12	0	0
distributed/fsdp	test_checkpoint_wrapper	8	7	1	0
distributed/fsdp	 test_distributed_checkpoint 	2	2	0	0
distributed/fsdp	test_fsdp_apply 	3	3	0	0
distributed/fsdp	test_fsdp_backward_prefetch 	1	1	0	0
distributed/fsdp	test_fsdp_checkpoint 	17	17	0	0
distributed/fsdp	test_fsdp_clip_grad_norm 	4	3	0	1
distributed/fsdp	test_fsdp_comm_hooks 	28	28	0	0
distributed/fsdp	test_fsdp_comm 	10	10	0	0
distributed/fsdp	test_fsdp_core 	60	51	0	9
distributed/fsdp	test_fsdp_dtensor_state_dict 	15	15	0	0
distributed/fsdp	test_fsdp_exec_order 	8	8	0	0
distributed/fsdp	test_fsdp_fine_tune 	4	4	0	0
distributed/fsdp	test_fsdp_flatten_params 	14	14	0	0
distributed/fsdp	test_fsdp_freezing_weights 	32	32	0	0
distributed/fsdp	test_fsdp_fx 	1	1	0	0
distributed/fsdp	test_fsdp_grad_acc 	6	0	0	6
distributed/fsdp	test_fsdp_hybrid_shard 	6	5	0	1
distributed/fsdp	test_fsdp_ignored_modules 	8	8	0	0
distributed/fsdp	test_fsdp_input 	2	2	0	0
distributed/fsdp	test_fsdp_memory 	2	2	0	0
distributed/fsdp	test_fsdp_meta 	15	8	7	0
distributed/fsdp	test_fsdp_misc 	27	12	15	0
distributed/fsdp	test_fsdp_mixed_precision 	58	58	0	0
distributed/fsdp	test_fsdp_multiple_forward 	2	2	0	0
distributed/fsdp	test_fsdp_multiple_wrapping 	1	1	0	0
distributed/fsdp	test_fsdp_optim_state 	60	60	0	0
distributed/fsdp	test_fsdp_pure_fp16 	2	2	0	0
distributed/fsdp	test_fsdp_sharded_grad_scaler 	20	18	0	2
distributed/fsdp	test_fsdp_state_dict 	179	179	0	0
distributed/fsdp	test_fsdp_tp_integration 	3	3	0	0
distributed/fsdp	test_fsdp_traversal 	1	1	0	0
distributed/fsdp	test_fsdp_uneven 	1	1	0	0
distributed/fsdp	test_fsdp_unshard_params 	15	15	0	0
distributed/fsdp	test_fsdp_use_orig_params 	25	23	0	2
distributed/fsdp	test_hsdp_dtensor_state_dict 	8	8	0	0
distributed/fsdp	test_shard_utils 	2	2	0	0
distributed/fsdp	test_utils 	5	5	0	0
distributed/fsdp	 test_wrap 	52	34	18	0
distributed/optim	 test_apply_optimizer_in_backward 	5	5	0	0
distributed/optim	 test_named_optimizer 	8	8	0	0
distributed/optim	 test_zero_redundancy_optimizer 	42	42	0	0
distributed/pipelining	test_backward 	10	7	3	0
distributed/pipelining	test_microbatch 	4	3	1	0
distributed/pipelining	test_pipe 	3	3	0	0
distributed/pipelining	test_schedule 	33	33	0	0
distributed/pipelining	test_transformer 	2	2	0	0
distributed/pipelining	test_unflatten 	2	2	0	0
distributed/pipelining	test_stage	8	0	8	0
distributed/_shard/sharded_tensor	test_logger 	1	1	0	0
distributed/_shard/sharded_tensor	test_sharded_tensor 	74	62	0	12
distributed/_shard/sharded_tensor	test_sharded_tensor_reshard 	2	2	0	0
distributed/_shard/shard/sharding/plan	 test_sharding_plan 	3	3	0	0
distributed/_shard/shard/sharding/spec	 test_sharding_spec 	11	6	5	0
distributed/_shard/	 test_sharder 	2	2	0	0
distributed/tensor/experimental	 test_register_sharding 	2	2	0	0
distributed/tensor/parallel	test_micro_pipeline_tp 	45	17	0	28
distributed/tensor/parallel	test_parallelize_api 	16	16	0	0
distributed/tensor/parallel	test_tp_examples 	16	5	11	0
distributed/tensor/parallel	test_tp_random_state 	1	1	0	0
distributed/tensor/parallel	test_tp_style 	9	9	0	0
distributed/tensor	test_api 	8	8	0	0
distributed/tensor	test_attention 	4	1	3	0
distributed/tensor	test_common_rules 	10	10	0	0
distributed/tensor	test_dtensor_compile 	42	40	2	0
distributed/tensor	test_dtensor 	35	32	3	0
distributed/tensor	test_experimental_ops 	3	3	0	0
distributed/tensor	test_init 	7	7	0	0
distributed/tensor	test_math_ops 	20	20	0	0
distributed/tensor	test_random_ops 	13	12	1	0
distributed/tensor	test_redistribute 	21	19	2	0
distributed/tensor	test_tensor_ops 	30	30	0	0
distributed	 test_backends 	4	4	0	0
distributed	 test_c10d_common 	27	27	0	0
distributed	test_c10d_functional_native	32	30	1	1
distributed	 test_c10d_logger 	2	2	0	0
distributed	 test_c10d_object_collectives 	18	18	0	0
distributed	 test_compute_comm_reordering 	8	8	0	0
distributed	 test_control_collectives 	13	13	0	0
distributed	 test_device_mesh 	56	49	7	0
distributed	 test_dynamo_distributed 	60	55	5	0
distributed	 test_fake_pg 	13	10	3	0
distributed	 test_functional_api 	11	11	0	0
distributed	 test_inductor_collectives 	62	61	0	1
distributed	 test_multi_threaded_pg 	22	21	1	0
distributed	 test_store 	120	108	12	0
distributed/_tools/	 test_fsdp2_mem_tracker 	3	3	0	0
distributed/_tools/	 test_memory_tracker 	1	1	0	0
distributed/_tools/	 test_mem_tracker 	3	3	0	0
distributed/_tools/	 test_mod_tracker 	4	4	0	0
 **Total** 	  	2167	1895	203	69